carat,cut,color,clarity,depth,table,x,y,z
0.38,Ideal,E,VVS2,62.2,56,4.64,4.6,2.89
0.31,Very Good,G,VS2,63,56,4.27,4.31,2.7
0.44,Ideal,E,VVS2,61.9,56,4.9,4.94,3.03
1.5,Very Good,F,SI2,63.1,57,7.29,7.28,4.57
0.33,Premium,D,VS2,61.1,59,4.45,4.44,2.74
1.65,Ideal,G,VS2,61.4,54,7.59,7.57,4.69
0.3,Very Good,H,SI1,63,58,4.26,4.29,2.68
1.52,Very Good,D,SI1,60.3,60,7.43,7.48,4.46
1.02,Ideal,F,VS2,62.7,56,6.39,6.44,4.02
1.12,Ideal,G,VVS2,62.5,56,6.66,6.62,4.16
0.7,Premium,F,SI2,59.5,58,5.76,5.72,3.46
1.7,Premium,F,VS1,60.3,58,7.71,7.67,4.68
1.73,Premium,G,VVS2,62.4,56,7.68,7.61,4.76
0.48,Very Good,E,SI2,59.8,60,5.1,5.16,3.06
0.3,Ideal,F,VVS1,61.3,56,4.32,4.31,2.66
0.42,Premium,D,SI1,61.1,60,4.8,4.87,2.94
0.55,Ideal,D,VS2,62.6,57,5.24,5.22,3.27
1.21,Premium,H,VS2,59.3,59,6.99,6.93,4.13
1.24,Premium,D,I1,61.8,59,6.88,6.84,4.26
1.29,Very Good,H,SI2,61.1,58,6.98,7.02,4.26
2,Premium,G,SI2,61.4,60,8.17,7.84,4.97
0.31,Very Good,H,VS1,62.4,58,4.28,4.32,2.68
0.37,Ideal,E,VVS2,62.2,56,4.63,4.59,2.88
0.55,Ideal,E,SI1,60.7,56,5.26,5.29,3.21
1.11,Fair,H,SI2,65.3,60,6.45,6.37,4.19
0.35,Ideal,E,VS2,62.4,56,4.55,4.52,2.83
1.11,Ideal,I,SI2,61.5,56,6.61,6.63,4.11
1.09,Ideal,F,SI1,61.8,54,6.61,6.64,4.08
0.3,Very Good,F,VVS1,58.1,62,4.45,4.5,2.57
1.01,Premium,E,SI1,62.8,58,6.3,6.44,3.95
1,Good,E,SI2,61,61,6.31,6.47,3.84
1.64,Premium,E,SI1,59.5,58,7.73,7.69,4.55
0.98,Fair,E,SI2,64.6,59,6.22,6.17,4.01
0.41,Ideal,F,VS2,61.5,56,4.78,4.84,2.96
2.38,Premium,J,VS2,60.1,60,8.61,8.76,5.24
1.32,Premium,G,VVS2,61,59,7.17,7.22,4.32
0.71,Ideal,G,VS2,61.9,56,5.69,5.75,3.52
0.31,Very Good,I,VS2,59.3,60,4.39,4.42,2.59
1.06,Very Good,F,SI1,59.6,62,6.63,6.71,3.95
2.11,Premium,D,SI2,59.8,58,8.43,8.36,4.99
1.01,Good,D,VS1,57.8,60,6.58,6.63,3.81
1.01,Very Good,G,VVS1,61.8,54,6.45,6.49,3.97
0.92,Premium,G,SI2,61.5,59,6.27,6.16,3.84
0.34,Ideal,H,VVS2,63,57,4.46,4.44,2.8
0.33,Premium,F,VS2,61.9,58,4.46,4.42,2.75
0.31,Ideal,G,VS2,62.1,55,4.33,4.28,2.7
0.8,Ideal,G,SI2,61.6,55.1,5.96,5.98,3.68
1.11,Premium,H,VS1,62,58,6.61,6.64,4.12
0.33,Ideal,D,SI2,61.3,55.8,4.49,4.49,2.74
0.43,Ideal,D,VS2,60.7,56,4.88,4.89,2.99
0.35,Very Good,H,SI1,63.2,58,4.52,4.47,2.82
0.3,Premium,G,VS1,61.9,59,4.3,4.28,2.67
0.55,Ideal,E,VS2,61.4,57,5.23,5.27,3.23
1.52,Premium,D,SI1,60.2,58,7.47,7.43,4.47
1.01,Good,H,SI1,63.4,57,6.27,6.36,4.01
0.27,Very Good,D,VVS2,62.2,60,4.15,4.18,2.57
0.43,Premium,D,SI1,60.1,61,4.88,4.92,2.95
1.06,Ideal,H,VVS1,60.5,57,6.61,6.67,3.99
0.32,Ideal,E,VS2,62,55,4.36,4.39,2.72
1.15,Ideal,G,SI2,63,57,6.69,6.6,4.2
0.42,Ideal,H,VVS2,62,56,4.82,4.83,2.98
1.26,Ideal,G,SI1,61.5,56,6.97,6.91,4.31
0.55,Ideal,G,VS1,62.2,55,5.25,5.28,3.26
0.91,Premium,E,SI2,60.1,60,6.28,6.27,3.79
1.22,Premium,G,SI2,58.9,60,7.02,6.95,4.14
1.21,Very Good,F,SI1,60.2,60,6.96,6.91,4.18
1.01,Very Good,H,SI2,58.8,58,6.58,6.63,3.89
0.27,Very Good,D,VS1,62.3,54,4.16,4.21,2.61
1.01,Premium,E,SI2,59.5,59,6.59,6.56,3.92
0.59,Ideal,G,SI1,63.4,54,5.35,5.29,3.39
1.21,Premium,H,VS1,62.3,58,6.79,6.76,4.23
0.56,Good,D,IF,57.3,56,5.47,5.51,3.17
1.26,Premium,I,SI1,62.8,59,6.85,6.82,4.33
0.3,Very Good,F,SI2,63.3,57,4.26,4.2,2.7
0.43,Ideal,E,SI2,62.1,57,4.83,4.87,3.01
1.11,Good,I,SI1,63.1,58,6.59,6.49,4.15
0.41,Ideal,E,SI2,61.9,58,4.73,4.75,2.92
1.01,Ideal,I,VS2,62,55,6.42,6.45,4
0.57,Ideal,F,VS2,60.7,54,5.35,5.39,3.25
2.19,Premium,J,SI2,62.7,58,8.31,8.29,5.18
0.57,Good,F,VS2,63.1,58,5.28,5.25,3.32
0.56,Ideal,D,IF,61.9,56,5.28,5.34,3.28
0.41,Very Good,D,SI1,64.1,55,4.75,4.73,3.01
0.91,Very Good,E,SI1,62.4,63,6.11,6.14,3.85
0.3,Premium,H,VVS2,62,58,4.3,4.31,2.66
0.7,Good,D,SI1,58.8,63,5.69,5.75,3.37
0.31,Premium,D,VS2,61.7,58,4.35,4.33,2.67
0.36,Ideal,D,VS1,61.8,55,4.59,4.64,2.84
1.31,Ideal,G,I1,62.3,56,7.01,7.01,4.36
2,Very Good,G,SI1,59.1,57,8.13,8.21,4.85
0.32,Ideal,H,VS2,60.9,57,4.41,4.42,2.69
0.34,Ideal,G,VS2,62.1,55,4.47,4.5,2.79
1,Premium,E,VVS2,62.9,59,6.33,6.27,3.95
0.59,Ideal,G,SI2,60.6,55,5.45,5.5,3.32
1.31,Premium,I,SI1,62,58,7.11,7.05,4.35
1.01,Good,F,VS2,64.1,60,6.19,6.25,3.89
0.3,Very Good,F,SI2,63.5,55,4.32,4.27,2.72
0.3,Very Good,E,VS2,62.8,56,4.25,4.31,2.68
1.02,Good,G,VVS1,63.1,56,6.38,6.44,4.03
1.5,Fair,J,SI1,65.8,61,6.93,6.97,4.68
0.31,Ideal,E,VVS2,62.4,55,4.36,4.33,2.72
0.25,Ideal,F,VS1,62.1,56,4.02,4.06,2.53
2,Premium,H,SI1,58.2,60,8.27,8.2,4.79
0.7,Ideal,I,VVS2,62.1,56,5.66,5.7,3.53
3.01,Fair,J,I1,66.8,60,8.99,8.94,5.97
0.5,Ideal,D,SI1,62.9,57,5.07,5.08,3.18
1.11,Very Good,I,SI2,63.7,58,6.52,6.57,4.15
0.7,Premium,E,SI1,61.8,60,5.69,5.56,3.5
0.56,Premium,J,VS2,61.7,60,5.28,5.33,3.25
0.41,Premium,F,VVS2,60.4,58,4.78,4.85,2.9
1.5,Very Good,G,VS2,62.2,59,7.21,7.31,4.51
1.25,Ideal,J,VS1,61.4,57,6.98,6.92,4.26
0.96,Ideal,G,SI2,61.7,57,6.34,6.36,3.95
0.77,Ideal,E,SI2,61,57,5.94,5.91,3.64
0.91,Very Good,E,SI2,58.6,63,6.3,6.38,3.7
0.3,Very Good,F,SI1,61.7,62,4.27,4.3,2.63
0.3,Ideal,F,SI1,62.5,55,4.28,4.3,2.69
0.7,Ideal,E,SI1,61.1,57,5.75,5.8,3.52
0.9,Premium,D,SI2,60.9,60,6.22,6.23,3.76
0.33,Ideal,F,VS2,62.3,56,4.4,4.45,2.75
0.71,Premium,F,VS1,61.8,59,5.69,5.73,3.52
1.2,Very Good,H,VS1,63.1,57,6.72,6.62,4.21
0.52,Ideal,E,VS2,61.3,55,5.22,5.2,3.2
0.54,Ideal,G,SI2,62.4,56,5.2,5.17,3.24
0.71,Premium,D,SI2,59.7,60,5.79,5.75,3.47
2,Fair,G,I1,64.9,56,7.99,7.88,5.12
0.32,Premium,G,VS2,60.8,58,4.39,4.42,2.67
1.37,Ideal,I,SI1,61.5,60,7.13,7.07,4.38
1,Very Good,I,VS1,63.2,56,6.36,6.29,4.02
0.9,Good,F,SI1,64,55,6.07,6.13,3.9
0.5,Premium,F,VS2,61.1,60,5.18,5.09,3.14
1,Very Good,H,SI1,60,63,6.37,6.41,3.87
0.56,Ideal,E,VS2,61.7,56,5.32,5.29,3.28
0.3,Premium,E,SI2,61.9,61,4.28,4.23,2.65
1.02,Premium,E,VS2,58.4,62,6.65,6.75,3.91
1.68,Good,E,SI1,63.7,58,7.63,7.53,4.81
0.62,Ideal,G,IF,60.5,56,5.53,5.57,3.35
0.7,Very Good,F,SI1,61.6,60,5.64,5.7,3.49
1.01,Premium,E,SI2,59.1,61,6.44,6.38,3.8
1.5,Very Good,E,VS2,61.7,58,7.3,7.38,4.52
0.91,Good,I,VS2,64.2,56,6.12,6.13,3.92
2.38,Premium,H,SI2,59.4,59,8.72,8.78,5.24
1.5,Very Good,G,SI1,62.1,60,7.21,7.31,4.5
1.26,Very Good,F,VS2,59.6,60,7.03,7.14,4.22
0.8,Ideal,F,SI1,60.5,57,5.97,6.04,3.62
0.75,Premium,J,SI1,62,58,5.85,5.84,3.63
0.7,Good,D,SI1,61.6,62,5.67,5.74,3.51
0.41,Ideal,D,VS1,62.8,56,4.73,4.75,2.97
1.01,Good,F,SI1,60.5,62,6.31,6.36,3.86
0.27,Very Good,D,VVS2,60.4,58,4.17,4.2,2.54
0.41,Very Good,F,SI1,63.5,57,4.72,4.7,2.99
0.51,Ideal,F,VS2,61.5,57,5.18,5.15,3.17
0.42,Ideal,I,VS1,62.2,55,4.79,4.82,2.99
0.33,Ideal,H,VS1,61.9,55,4.44,4.47,2.74
1.51,Very Good,I,SI1,59.3,58,7.45,7.48,4.42
0.9,Premium,G,VS2,60.8,60,6.17,6.12,3.75
0.54,Ideal,E,SI2,60.6,57,5.24,5.33,3.19
1.2,Ideal,H,SI1,61.9,58,6.79,6.82,4.23
0.71,Ideal,E,VS2,61.6,58,5.73,5.77,3.53
1.33,Very Good,F,IF,58.4,60,7.31,7.35,4.21
1.02,Premium,H,VS2,62.4,56,6.42,6.36,4
0.4,Ideal,E,VS2,62.6,56,4.74,4.68,2.96
0.78,Very Good,H,SI2,62.7,56,5.84,5.9,3.67
0.25,Very Good,F,VVS2,61.2,55,4.07,4.1,2.48
0.5,Very Good,F,SI1,60.2,60,5.18,5.29,3.12
0.43,Ideal,I,VVS2,61.8,55,4.87,4.92,3.02
0.7,Very Good,H,VVS1,60.5,59,5.69,5.73,3.46
0.9,Fair,I,VS1,68.2,57,5.74,5.67,3.97
0.32,Ideal,E,VS2,62.1,56,4.41,4.39,2.73
0.52,Ideal,D,SI1,62.7,55,5.15,5.11,3.23
2.06,Good,I,VS2,57.8,61,8.39,8.26,4.95
0.25,Ideal,G,IF,61.8,56,4.04,4.07,2.52
0.9,Ideal,D,VS2,62.2,57,6.18,6.14,3.84
1.47,Very Good,H,SI1,61.7,59,7.36,7.39,4.52
0.63,Ideal,E,VS1,60.8,56,5.58,5.6,3.39
2.03,Premium,J,SI1,60.1,59,8.21,8.14,4.94
0.75,Ideal,F,SI1,61.5,55,5.85,5.84,3.62
0.74,Ideal,E,SI1,61.7,56,5.85,5.8,3.59
0.8,Ideal,E,SI1,61,56,5.96,6,3.64
0.59,Ideal,D,VS2,61.9,55,5.36,5.39,3.33
2.01,Very Good,H,SI2,63.2,59,7.97,7.82,5.01
0.91,Good,E,VS2,56.3,59,6.3,6.35,3.52
0.91,Very Good,D,SI2,61.5,57,6.18,6.25,3.82
0.37,Ideal,F,VS2,61.7,55,4.56,4.6,2.88
0.61,Ideal,E,VS1,61.3,56,5.48,5.5,3.36
0.57,Ideal,D,VS2,61.5,57,5.34,5.36,3.29
0.36,Ideal,D,VS2,61.6,55,4.58,4.6,2.82
1.04,Premium,H,VS2,59.6,59,6.65,6.56,3.94
0.34,Ideal,H,VS1,62.7,57,4.48,4.46,2.81
1.02,Premium,F,SI1,61.8,59,6.45,6.39,3.97
1.22,Ideal,G,VS2,62,57,6.9,6.83,4.25
0.35,Ideal,H,IF,61.7,56,4.56,4.56,2.8
1.24,Ideal,H,SI2,61.8,57,6.85,6.92,4.24
0.37,Ideal,G,VS2,60.5,56,4.67,4.7,2.82
1.1,Premium,J,SI2,60.2,58,6.73,6.66,4.05
0.35,Ideal,I,VS2,61.4,58,4.54,4.56,2.8
0.3,Very Good,E,SI2,58.1,63,4.34,4.38,2.55
1.51,Premium,H,VS2,60.2,60,7.35,7.33,4.42
0.76,Premium,G,SI2,62.8,58,5.8,5.74,3.62
0.33,Premium,I,VVS2,61.3,61,4.45,4.42,2.74
1.01,Ideal,G,VS2,61.6,57,6.47,6.51,3.99
1.5,Good,G,I1,57.5,63,7.57,7.45,4.28
0.7,Very Good,E,SI2,61.5,57,5.65,5.72,3.51
2.48,Premium,I,SI2,62.5,56,8.6,8.56,5.41
0.32,Ideal,H,VVS1,61.4,55,4.45,4.42,2.72
0.33,Very Good,J,SI1,63,57,4.39,4.4,2.77
0.71,Good,I,VS1,63.3,55,5.66,5.62,3.59
0.77,Ideal,J,SI1,62,55,5.85,5.9,3.64
1.01,Ideal,J,VS2,62.4,54,6.4,6.46,4.01
1.08,Premium,H,SI1,62.9,59,6.62,6.55,4.13
0.91,Premium,I,SI1,58.4,57,6.38,6.32,3.7
0.31,Ideal,G,VS1,60.8,56,4.38,4.32,2.68
1.5,Good,I,SI1,63.1,60,7.17,7.1,4.52
1.2,Very Good,H,SI2,61.1,58,6.77,6.84,4.13
0.77,Fair,H,VVS2,66.1,61,5.65,5.69,3.68
0.42,Ideal,D,SI1,61.8,56,4.83,4.81,2.99
1.01,Very Good,E,SI1,63,60,6.25,6.29,3.98
0.53,Ideal,G,VVS2,60.4,56,5.29,5.3,3.19
0.31,Ideal,E,VS1,60.4,57,4.39,4.34,2.66
1,Premium,G,SI2,61.8,59,6.43,6.41,3.96
0.71,Premium,F,SI1,62.7,59,5.71,5.61,3.56
0.58,Ideal,H,VS1,61.1,56,5.45,5.42,3.3
1.22,Good,H,VS2,63.6,56,6.84,6.77,4.35
1.29,Good,D,SI2,59,59,7.06,7.12,4.16
0.53,Very Good,G,VVS1,61.5,56,5.19,5.26,3.19
1.34,Ideal,H,VS2,61.2,59,7.04,7.09,4.27
0.7,Very Good,E,VS1,61.5,57,5.66,5.73,3.5
0.51,Premium,E,SI2,61.8,58,5.08,5.16,3.14
0.51,Ideal,E,VVS1,61.9,56,5.12,5.15,3.18
0.53,Ideal,D,VS2,61.4,56,5.2,5.23,3.19
0.35,Ideal,D,VS1,61.6,56,4.54,4.53,2.8
0.54,Ideal,F,VS2,61.3,57,5.25,5.31,3.21
2.02,Very Good,H,SI1,62.3,57,7.95,7.98,4.99
0.55,Premium,E,SI1,61.4,57,5.25,5.27,3.22
0.33,Ideal,E,VS2,61.9,55,4.43,4.44,2.75
0.5,Good,I,VS1,63.6,62.3,4.94,5,3.14
0.9,Very Good,F,SI1,63,61,6.1,6.13,3.86
0.7,Ideal,H,VS1,61.2,57,5.75,5.71,3.51
0.31,Ideal,E,SI2,61.3,54,4.35,4.39,2.67
0.3,Good,D,VVS2,64.3,56,4.26,4.21,2.76
0.41,Ideal,D,VVS1,62.8,56,4.77,4.74,2.99
1,Very Good,D,SI2,61.6,60,6.4,6.45,3.96
0.56,Ideal,D,SI1,61.2,56,5.31,5.34,3.25
0.4,Premium,F,SI1,62,59,4.7,4.76,2.92
1.44,Good,G,SI1,64.2,58.6,7.01,6.95,4.46
0.52,Ideal,F,SI1,61.8,56,5.17,5.19,3.21
0.78,Fair,G,SI1,64.6,60,5.81,5.77,3.7
0.71,Very Good,D,SI2,63.3,57,5.7,5.68,3.59
1.5,Premium,H,SI1,61.7,56,7.44,7.31,4.55
0.32,Premium,E,SI1,62.3,58,4.42,4.38,2.74
0.36,Premium,I,IF,59.9,59,4.59,4.62,2.76
1.7,Premium,H,VS2,62.4,57,7.66,7.57,4.8
0.9,Good,D,SI2,62.2,64,6.04,6.08,3.77
2.08,Ideal,H,SI2,63.5,57,8.06,8.02,5.11
0.59,Very Good,H,SI1,62.4,56,5.33,5.36,3.36
0.8,Very Good,J,SI1,61.9,56,5.93,6.01,3.68
0.34,Premium,E,SI1,59.3,61,4.59,4.54,2.71
0.62,Very Good,I,SI1,63.8,55,5.47,5.31,3.43
0.72,Ideal,G,VS1,61.4,56,5.78,5.81,3.55
2.32,Fair,J,I1,66.6,58,8.05,8.01,5.43
0.71,Very Good,H,SI1,62.5,56,5.67,5.72,3.55
2.03,Premium,F,SI2,62.4,60,8.08,7.97,5.06
1.2,Very Good,D,SI2,62.6,58,6.74,6.71,4.21
0.7,Ideal,I,SI1,61.9,55,5.69,5.73,3.56
0.53,Ideal,I,VVS1,62,57,5.22,5.19,3.22
1.23,Ideal,H,SI1,63,57,6.78,6.75,4.32
0.37,Very Good,E,VS2,60.6,59,4.67,4.72,2.81
1.21,Very Good,J,VS2,61.9,58,6.77,6.82,4.22
0.25,Very Good,D,VS1,60.8,60,4.06,4.09,2.48
1.01,Premium,F,VS2,61.6,59,6.47,6.42,3.96
0.32,Premium,G,VS2,62,55,4.38,4.32,2.72
0.23,Very Good,E,VVS2,60.6,55,3.99,4.01,2.43
0.5,Very Good,E,SI1,60.9,61,5.1,5.03,3.1
0.44,Very Good,E,SI1,62.9,56,4.85,4.88,3.05
0.3,Premium,G,VS2,61.8,59,4.27,4.33,2.65
0.89,Ideal,E,VS2,62.3,55,6.19,6.19,3.85
1.01,Good,F,VS2,60.6,56,6.42,6.49,3.93
1.22,Very Good,I,VS1,59,60,6.94,7,4.14
0.32,Good,G,VS2,57,61,4.55,4.58,2.62
0.92,Ideal,G,VS2,62,57,6.27,6.28,3.87
0.9,Good,D,SI1,63.2,57,6.11,6.16,3.88
0.39,Premium,G,VS2,60.9,61,4.7,4.66,2.88
0.37,Ideal,D,VVS1,61.5,57,4.59,4.56,2.83
0.42,Very Good,D,VVS2,60.7,59,4.78,4.85,2.92
0.81,Very Good,E,SI1,61.9,57,5.89,5.94,3.66
1.03,Very Good,E,SI1,63.1,63,6.43,6.4,4.02
2.2,Ideal,H,SI2,61.4,56,8.36,8.37,5.14
0.5,Very Good,F,SI2,62.5,56,4.99,5.03,3.12
1.01,Premium,E,VS1,62.9,59,6.36,6.3,3.97
1.01,Good,D,SI2,63.6,56,6.32,6.3,4.04
1.11,Ideal,G,VS2,61.2,56,6.68,6.65,4.1
1.01,Premium,H,VS2,61,59,6.47,6.39,3.95
2.14,Premium,H,SI2,58.4,61,8.6,8.53,5.04
0.53,Very Good,G,VS1,62.3,59,5.13,5.24,3.22
0.8,Good,E,VS2,63.3,59,5.8,5.91,3.7
1,Ideal,I,VS1,60.4,56,6.5,6.54,3.92
0.3,Ideal,I,SI1,62.3,56,4.29,4.31,2.68
2.12,Ideal,I,SI1,62.2,58,8.16,8.31,5.08
0.37,Premium,E,SI2,59.5,61,4.7,4.67,2.8
0.38,Premium,E,SI1,58.1,60,4.76,4.69,2.82
1.54,Premium,G,SI2,61.5,61,7.43,7.33,4.58
1.57,Premium,D,VS1,61.4,58,7.43,7.43,4.61
1,Very Good,H,SI1,63.5,57,6.33,6.28,3.99
0.31,Ideal,F,VS2,60.8,57,4.38,4.44,2.68
0.51,Very Good,E,VS1,58.9,62,5.18,5.24,3.07
0.75,Premium,F,SI1,61.1,60,5.86,5.79,3.56
0.31,Ideal,G,VVS2,61.4,56,4.36,4.34,2.67
0.32,Premium,E,VVS1,61.8,60,4.39,4.36,2.72
1.02,Premium,E,SI2,58.7,58,6.57,6.51,3.9
1.54,Premium,G,SI1,61.8,58,7.4,7.4,4.58
0.7,Ideal,D,VS2,62.7,54,5.66,5.64,3.56
1.58,Premium,G,VS2,62.6,59,7.41,7.4,4.63
0.6,Ideal,F,VS2,60.9,56,5.44,5.43,3.33
2.03,Ideal,H,SI2,61.6,57,8.07,8.21,5.02
1.02,Very Good,D,SI2,61.5,58,6.48,6.53,3.96
1.18,Ideal,E,IF,61.6,56,6.77,6.81,4.19
0.5,Very Good,D,VS2,63.2,61,5.07,5.08,3.18
2.02,Very Good,D,SI2,60.6,57,8.27,8.3,4.98
1.07,Ideal,I,SI1,61.4,57,6.64,6.58,4.03
0.31,Ideal,E,VS2,61.8,56,4.4,4.35,2.71
0.41,Very Good,D,SI1,60.3,61,4.78,4.84,2.88
0.41,Very Good,D,SI2,59.9,59,4.8,4.82,2.88
1.07,Ideal,H,SI1,62.1,56,6.57,6.52,4.06
0.76,Ideal,F,VVS2,61.7,53,5.87,5.84,3.63
1.21,Premium,H,SI2,60.7,59,6.88,6.82,4.17
1.51,Good,I,SI1,63.9,63,7.15,7.16,4.6
1.11,Ideal,F,VS2,60.9,54,6.71,6.73,4.08
1,Premium,D,SI1,62.3,59,6.33,6.26,3.98
0.3,Premium,D,VS2,62.2,58,4.31,4.28,2.67
0.56,Ideal,I,VVS1,62,56,5.29,5.31,3.28
0.72,Ideal,E,SI1,59.8,59,5.85,5.9,3.54
0.3,Ideal,H,VS2,61.4,56,4.32,4.34,2.66
1.01,Good,E,SI1,64.3,59,6.34,6.35,4.07
0.31,Premium,I,SI1,62.3,59,4.31,4.35,2.7
0.45,Premium,F,SI2,59.4,61,5.01,5.04,3
0.9,Ideal,H,SI2,61,57,6.22,6.25,3.8
1,Ideal,E,I1,61.8,55,6.43,6.49,3.97
0.27,Ideal,H,SI2,61.9,54,4.15,4.1,2.58
0.32,Very Good,H,VVS1,63.4,56,4.39,4.34,2.76
1.5,Premium,H,SI2,60.1,60,7.4,7.35,4.4
0.55,Ideal,H,SI1,62.2,56,5.2,5.27,3.25
0.5,Very Good,E,VS2,63,57,5.08,5.04,3.19
0.8,Ideal,H,IF,62.3,57,5.97,5.97,3.72
1.93,Ideal,I,SI2,61.1,55,8,8.01,4.92
0.26,Ideal,D,VVS1,61.4,57,4.3,4.35,2.49
0.32,Premium,G,VS2,61.7,59,4.32,4.38,2.69
0.64,Good,F,VS1,61.7,62,5.55,5.61,3.42
1.15,Premium,H,SI1,60.9,58,6.8,6.75,4.13
0.38,Premium,G,VS2,59.3,59,4.73,4.69,2.81
0.52,Premium,G,VS1,61.2,57,5.21,5.13,3.16
0.71,Ideal,E,VS2,60.1,57,5.79,5.83,3.47
0.51,Ideal,E,VS2,61.9,55,5.17,5.15,3.19
0.71,Ideal,E,VS1,61.4,57,5.75,5.73,3.54
0.3,Ideal,G,IF,62.3,52.8,4.3,4.32,2.69
0.45,Very Good,F,VS2,63.3,54,4.88,4.82,3.07
0.31,Ideal,D,VS2,61.7,56,4.37,4.33,2.68
0.61,Ideal,G,VS1,61.8,56,5.43,5.47,3.36
0.54,Ideal,H,VS1,61.8,56,5.23,5.23,3.24
0.27,Ideal,E,VVS2,62.2,55,4.14,4.15,2.56
0.39,Premium,F,VS1,60.5,60,4.75,4.76,2.88
0.78,Ideal,E,VS2,61.1,55,5.94,6,3.64
0.32,Ideal,F,VS2,61.1,57,4.4,4.42,2.69
0.35,Ideal,E,VS2,62.1,56,4.54,4.58,2.82
0.71,Ideal,E,SI2,61.9,54,5.71,5.73,3.54
1.33,Ideal,G,VS1,62.6,57,7.01,7.04,4.4
0.56,Premium,G,VS1,59.4,61,5.38,5.31,3.2
0.34,Premium,H,VS2,61.7,60,4.45,4.44,2.77
0.54,Ideal,G,SI2,59.9,59,5.36,5.32,3.24
0.41,Ideal,F,VVS2,61.7,55,4.78,4.83,2.95
1.01,Very Good,D,SI1,61.5,61,6.43,6.48,3.97
0.77,Ideal,E,SI2,62.3,56,5.84,5.9,3.65
1.06,Premium,F,SI2,62.6,58,6.47,6.43,4.07
0.35,Premium,I,VVS2,61.5,59,4.51,4.54,2.78
0.32,Ideal,D,VVS2,61.3,56,4.4,4.43,2.71
0.32,Ideal,H,VS1,61.1,55,4.43,4.5,2.7
1.01,Very Good,E,VS2,61.7,55,6.41,6.49,3.97
1.12,Premium,G,SI1,60.1,60,6.87,6.81,4.11
0.41,Good,E,SI1,63.9,57,4.7,4.64,3.02
0.51,Premium,E,SI1,61.8,59,5.13,5.12,3.17
0.34,Very Good,E,SI1,59,59,4.61,4.62,2.7
0.52,Ideal,G,VS1,62.3,54,5.14,5.18,3.22
1.23,Very Good,H,SI1,61.2,57,6.92,6.96,4.23
1.21,Very Good,H,SI1,59.6,58,6.95,7,4.14
1.04,Good,I,SI2,56.2,60,6.76,6.72,3.92
0.38,Ideal,H,VVS2,61.6,56,4.68,4.74,2.88
1.5,Premium,D,SI1,60.2,55,7.37,7.25,4.4
1.04,Premium,D,SI2,61.9,59,6.46,6.51,4.01
1.28,Premium,G,VVS1,60.5,60,7.02,6.96,4.23
0.78,Premium,G,SI1,61.3,56,5.92,5.88,3.65
0.73,Ideal,I,VS1,62.1,55,5.76,5.8,3.58
0.58,Premium,F,SI1,61.8,59,5.37,5.31,3.32
1.13,Fair,H,SI1,65.8,59,6.48,6.43,4.23
1.17,Ideal,G,SI1,60.9,55,6.85,6.81,4.19
0.27,Very Good,H,VS1,61.9,56,4.14,4.16,2.57
0.51,Ideal,E,VVS1,62.3,56,5.11,5.13,3.17
1.49,Ideal,F,SI1,61.4,57,7.32,7.25,4.5
1.01,Very Good,D,SI1,61.5,61,6.46,6.5,3.96
1.03,Very Good,E,SI1,63.1,57,6.43,6.41,4.04
0.5,Very Good,D,VS2,63.4,56,4.95,5.05,3.21
0.26,Ideal,F,VS1,62.3,57,4.1,4.13,2.56
0.55,Ideal,D,SI1,60.6,56,5.28,5.31,3.23
0.56,Very Good,G,VS2,62.5,56,5.25,5.27,3.28
0.41,Ideal,E,VVS1,61.3,57,4.77,4.8,2.93
1.08,Ideal,G,SI2,61.3,57,6.62,6.68,4.05
0.85,Ideal,E,SI1,61.5,54,6.07,6.09,3.78
0.55,Premium,E,VS2,61.4,58,5.28,5.31,3.23
0.58,Ideal,E,VS2,62,55,5.4,5.43,3.32
1.1,Good,F,SI2,64,62,6.49,6.54,4.15
1.01,Premium,H,VS2,61.2,58,6.45,6.49,3.98
1.01,Premium,F,SI2,62.2,60,6.34,6.32,3.93
0.57,Ideal,D,VVS2,61.6,56,5.33,5.4,3.28
1.2,Very Good,J,SI1,61.8,59,6.78,6.87,4.2
2.01,Very Good,F,SI2,63.4,56,8.04,7.93,5.07
0.53,Ideal,G,SI2,61.8,54,5.23,5.23,3.23
1.01,Very Good,G,VS2,62.5,57,6.39,6.47,3.98
1.01,Very Good,G,VS2,62.4,56,6.35,6.44,3.98
0.33,Premium,G,VS1,60.1,60,4.47,4.42,2.69
0.57,Ideal,F,VS2,62.3,54,5.31,5.36,3.31
1.32,Premium,F,VS1,59.7,60,7.16,7.09,4.27
1.08,Ideal,G,VS2,62.1,57,6.59,6.56,4.09
0.7,Very Good,E,VS1,62.7,60,5.61,5.66,3.52
1.18,Premium,I,SI2,61.7,57,6.67,6.61,4.13
1,Ideal,D,SI1,61.5,57,6.45,6.5,3.95
0.41,Ideal,G,VS2,62.1,58,4.75,4.71,2.96
1.11,Very Good,H,SI1,62.3,55,6.61,6.63,4.12
0.62,Very Good,D,SI2,62.9,56.2,5.42,5.47,3.41
0.5,Very Good,I,VS1,62.4,55,5.1,5.14,3.19
0.32,Very Good,I,SI1,61.6,59,4.36,4.42,2.7
0.7,Ideal,F,VVS2,61.9,54.8,5.72,5.68,3.53
0.54,Premium,F,SI1,61.4,56,5.21,5.26,3.21
0.43,Very Good,H,SI1,59.5,58,4.97,4.93,2.94
